lineages_l,number_genomes_per_lineage
JE.1.1,6
JF.1,270
JF.2,40
JG.1,28
JG.2,38
JG.3,440
JH.1,12
JH.2,1
JJ.1,5
JM.1,95
JM.2,46
JN.1,177
JN.2,171
JN.2.1,4
JN.3,141
JN.3.1,1
JN.4,6
JN.5,31
JN.5.1,14
JN.6,51
JN.8,1
JN.9,6
JQ.1,1
P.1,1
UNASSIGNED,23
XAC,3
XAD,3
XAE,1
XAF,20
XAG,3
XAH,2
XAJ,62
XAK,1
XAL,1
XAM,2
XAN,12
XAS,1
XAU,14
XAV,16
XAY.1,6
XAY.1.1.1,3
XAY.2,2
XAZ,94
XBB,261
XBB.1,1235
XBB.1.1,43
XBB.1.11,1
XBB.1.11.1,37
XBB.1.12,5
XBB.1.12.1,1
XBB.1.13,18
XBB.1.13.1,8
XBB.1.14,2
XBB.1.15,35
XBB.1.15.1,2
XBB.1.16,2227
XBB.1.16.1,439
XBB.1.16.10,9
XBB.1.16.11,1135
XBB.1.16.12,9
XBB.1.16.13,15
XBB.1.16.14,38
XBB.1.16.15,1086
XBB.1.16.16,34
XBB.1.16.17,99
XBB.1.16.18,64
XBB.1.16.19,149
XBB.1.16.2,147
XBB.1.16.20,5
XBB.1.16.21,173
XBB.1.16.22,7
XBB.1.16.23,15
XBB.1.16.24,5
XBB.1.16.3,72
XBB.1.16.4,2
XBB.1.16.5,16
XBB.1.16.6,805
XBB.1.16.7,9
XBB.1.16.8,37
XBB.1.16.9,102
XBB.1.17,1
XBB.1.17.1,146
XBB.1.18,3
XBB.1.18.1,43
XBB.1.19,18
XBB.1.19.1,56
XBB.1.19.2,2
XBB.1.21,1
XBB.1.22,17
XBB.1.22.1,103
XBB.1.22.2,37
XBB.1.24.1,6
XBB.1.25,1
XBB.1.27,1
XBB.1.28,4
XBB.1.28.1,4
XBB.1.29,11
XBB.1.3,1
XBB.1.30,2
XBB.1.31,1
XBB.1.32,29
XBB.1.33,20
XBB.1.34,14
XBB.1.34.1,18
XBB.1.34.2,2
XBB.1.35,11
XBB.1.37,5
XBB.1.37.1,4
XBB.1.38,2
XBB.1.39,1
XBB.1.4,14
XBB.1.4.1,26
XBB.1.4.2,1
XBB.1.41,12
XBB.1.41.1,154
XBB.1.41.2,14
XBB.1.42,20
XBB.1.42.1,41
XBB.1.42.2,13
XBB.1.43.1,29
XBB.1.44,1
XBB.1.45,2
XBB.1.45.1,1
XBB.1.47,1
XBB.1.48,4
XBB.1.5,12100
XBB.1.5.1,139
XBB.1.5.10,29
XBB.1.5.100,4
XBB.1.5.101,1
XBB.1.5.102,4
XBB.1.5.103,5
XBB.1.5.104,4
XBB.1.5.105,12
XBB.1.5.11,69
XBB.1.5.12,248
XBB.1.5.13,1265
XBB.1.5.14,96
XBB.1.5.15,224
XBB.1.5.16,288
XBB.1.5.17,48
XBB.1.5.18,1814
XBB.1.5.19,128
XBB.1.5.2,50
XBB.1.5.20,615
XBB.1.5.21,74
XBB.1.5.23,135
XBB.1.5.24,384
XBB.1.5.25,33
XBB.1.5.26,5
XBB.1.5.28,69
XBB.1.5.3,14
XBB.1.5.30,23
XBB.1.5.31,111
XBB.1.5.32,16
XBB.1.5.33,90
XBB.1.5.34,1
XBB.1.5.35,5
XBB.1.5.36,172
XBB.1.5.37,231
XBB.1.5.38,29
XBB.1.5.39,35
XBB.1.5.4,208
XBB.1.5.40,24
XBB.1.5.43,42
XBB.1.5.45,3
XBB.1.5.46,177
XBB.1.5.47,622
XBB.1.5.48,290
XBB.1.5.49,95
XBB.1.5.5,39
XBB.1.5.50,10
XBB.1.5.51,55
XBB.1.5.52,568
XBB.1.5.54,3
